,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest
4505008,0,38669.85,8543190.91,8581860.76,190781.63,152111.79
6009078,1,100840.93,100840.93,0.0,47681.33,148522.26
2384846,3,11467.27,14683.69,3216.41,0.0,0.0
560225,3,26548.9,80335.46,53786.57,0.0,0.0
6118663,4,671516.68,671516.68,0.0,0.0,0.0
4423710,0,34740.92,177294.0,212034.92,0.0,0.0
4691868,3,575.82,303477.0,302901.18,0.0,0.0
299788,0,218712.67,36559.0,255271.67,3768884.54,3550171.87
4103,4,10539.37,10539.37,0.0,0.0,0.0
3470418,3,7069.61,68778.0,61708.39,0.0,0.0
6362478,4,81677.17,81677.17,0.0,0.0,0.0
4153077,0,41894.18,20848.0,62742.18,0.0,0.0
2673364,1,175306.45,0.0,0.0,1759747.52,1935053.97
264697,1,181498.76,6422.0,0.0,71844.63,275776.76
5215432,4,563149.41,563149.41,0.0,0.0,0.0
1561476,1,494442.2,0.0,0.0,1572076.48,2066518.69
1094736,3,12160.36,29705.0,17544.64,0.0,0.0
5446362,0,272492.56,21477.0,293969.56,0.0,0.0
6078969,1,1049424.26,1049424.26,0.0,0.0,1049424.26
1482205,1,1589614.75,1589614.75,0.0,2163508.38,3753123.13
6205435,4,10000000.0,20353874.22,10353874.22,0.0,0.0
2065130,4,955505.54,955505.54,0.0,0.0,0.0
547412,1,119155.14,0.0,0.0,797793.95,838228.14
6267539,4,621034.85,621034.85,0.0,0.0,0.0
3059,4,1096187.24,1096187.24,0.0,0.0,0.0
4774252,3,23414.64,6856.03,0.0,0.0,0.0
4453352,4,985874.92,0.0,0.0,5662615.79,6648490.71
1461032,4,360042.92,112140.0,0.0,7012782.52,7372825.44
6039450,1,832811.84,832811.84,0.0,0.0,832811.84
6184564,1,1893451.73,1893451.73,0.0,488873.27,2382324.99
1059602,4,570649.33,570649.33,0.0,0.0,0.0
6303115,4,93483.23,93483.23,0.0,0.0,0.0
3513553,1,151328.95,0.0,0.0,303361.06,454690.0
1496375,4,6168077.6,6168077.6,0.0,0.0,0.0
4666642,0,157470.39,24676.0,182146.39,0.0,0.0
3250406,3,27887.24,0.0,0.0,0.0,0.0
3610374,1,5494862.93,5494862.93,0.0,0.0,5494862.93
4823787,3,11306.79,200226.07,188919.28,0.0,0.0
203413,1,380468.39,13204.0,0.0,0.0,380468.39
5183487,4,261742.96,261742.96,0.0,0.0,0.0
5631436,1,87903.43,14779.54,0.0,121428.77,209332.2
676178,1,97171.69,0.0,0.0,1457354.78,1630355.49
1278774,3,28829.6,11622.0,0.0,0.0,0.0
61676,3,12211.67,0.0,0.0,0.0,0.0
2688427,0,348673.08,5991551.26,6340224.34,1323731.13,975058.04
5637718,3,16256.03,106075.0,89818.97,0.0,0.0
4732124,3,21087.93,0.0,0.0,0.0,0.0
6183300,1,74543.73,176214.0,101670.27,3543803.36,3618347.09
4785666,4,21279.19,21279.19,0.0,0.0,0.0
6170481,1,1676936.79,1676936.79,0.0,40039.54,1716976.33
287743,1,174260.97,0.0,0.0,262369.74,436630.71
415188,1,183705.12,0.0,0.0,4396923.57,4580628.69
4202745,4,2321633.57,2321633.57,0.0,0.0,0.0
5037804,1,1325.77,15975.0,14649.23,397666.73,398992.5
6362527,1,53315.31,53315.31,0.0,0.0,53315.31
6226259,1,283283.49,12362.0,0.0,2588004.73,2871288.22
513955,3,13642.72,15982.0,2339.28,0.0,0.0
6259036,1,2095699.93,2095699.93,0.0,0.0,2095699.93
3347540,0,122814.07,135.0,122949.07,0.0,0.0
1059595,1,219489.62,219489.62,0.0,0.0,219489.62
1031579,3,4837.79,985.0,0.0,0.0,0.0
4085642,3,1810.14,0.0,0.0,0.0,0.0
1724663,1,120392.01,20399.0,0.0,0.0,120392.01
1030685,4,152331.26,152331.26,0.0,0.0,0.0
3781978,4,475854.04,475854.04,0.0,0.0,0.0
6362563,1,7758036.72,7758036.72,0.0,47778.61,7805815.33
1030526,1,1036789.41,1036789.41,0.0,523315.63,1560105.04
6010940,1,171878.27,171878.27,0.0,217898.19,389776.45
4567524,1,40756.61,0.0,0.0,68238.36,108994.97
746828,3,5465.35,11635.0,6169.65,0.0,0.0
6178608,1,1167816.02,1167816.02,0.0,71833.68,1239649.71
2440758,1,4644693.12,4644693.12,0.0,0.0,4644693.12
3499994,4,424845.08,0.0,0.0,652954.47,1077799.55
4412253,4,2944310.44,12458.0,0.0,208969.2,3153279.63
848420,3,15897.57,38430.0,22532.43,0.0,0.0
3193214,1,2025628.87,2025628.87,0.0,914254.52,2939883.39
2037882,0,58280.12,21675.0,79955.12,449874.8,391594.69
444858,3,3285.21,0.0,0.0,0.0,0.0
656205,1,295503.09,22065.0,0.0,408480.24,703983.33
6168685,4,244519.75,244519.75,0.0,0.0,0.0
3214347,1,1306690.61,1306690.61,0.0,108351.28,1415041.89
6064460,4,245841.83,92.0,0.0,2542137.22,2787979.05
4376417,3,3630.42,102.0,0.0,0.0,0.0
6281476,4,10000000.0,40399045.08,30399045.08,0.0,0.0
6100674,4,1200702.71,1200702.71,0.0,0.0,0.0
6351079,1,10000000.0,10000000.0,0.0,697508.01,10697508.01
5067633,3,19349.98,0.0,0.0,0.0,0.0
2226046,1,124563.15,0.0,0.0,349326.24,473889.4
3180319,3,21.8,153328.0,153306.2,0.0,0.0
1938522,3,6036.39,0.0,0.0,0.0,0.0
5007269,0,206408.07,3597043.77,3803451.84,1684615.59,1478207.52
960910,1,534255.94,534255.94,0.0,24559.0,558814.94
2098434,1,118002.28,204407.0,86404.72,0.0,118002.28
5512166,0,225582.44,51742.0,277324.44,138085.78,0.0
6062838,1,861189.54,861189.54,0.0,0.0,861189.54
1197423,0,281523.0,8181524.19,8463047.2,1539609.72,1258086.72
536572,4,568752.9,401.0,0.0,0.0,568752.9
3192128,1,989966.55,989966.55,0.0,0.0,989966.55
1760296,1,32002.77,50393.0,18390.23,202653.44,234656.21
5950809,1,210086.6,0.0,0.0,1832288.09,2042374.69
689294,1,174694.87,40925.0,0.0,311391.09,486085.96
2640722,3,16351.33,0.0,0.0,0.0,0.0
5479344,1,4445514.2,4445514.2,0.0,910628.33,5356142.53
4693612,0,39605.5,523207.41,562812.91,3184034.28,3144428.78
6007569,4,526071.46,526071.46,0.0,0.0,0.0
730291,1,108359.48,0.0,0.0,1022721.69,1131081.17
4785629,1,6515.64,6515.64,0.0,15607.94,22123.59
6310008,1,974452.84,974452.84,0.0,510824.52,1485277.35
5981896,1,398724.6,398724.6,0.0,5738519.76,6137244.36
3192127,4,989966.55,989966.55,0.0,0.0,0.0
5243417,1,199816.59,7818.0,0.0,298003.55,497820.15
1059627,1,94613.12,94613.12,0.0,0.0,94613.12
911942,1,5341.6,7033.0,1691.4,2740301.06,2745642.66
2739918,1,165509.56,0.0,0.0,1019938.79,1185448.35
102181,1,2662734.59,2662734.59,0.0,14165.62,2930405.33
1538600,1,252573.71,0.0,0.0,7034294.03,7286867.74
5639585,1,260592.67,59470.0,0.0,4777402.78,5037995.45
111500,0,148326.83,4317445.86,4465772.69,927190.95,778864.12
3882755,0,62263.02,38144.0,100407.02,38316.26,0.0
6261322,4,493538.8,493538.8,0.0,0.0,0.0
260398,1,95229.39,0.0,0.0,1271452.04,1366681.43
3627210,1,2274566.61,2274566.61,0.0,0.0,2274566.61
5875184,1,949979.11,949979.11,0.0,0.0,949979.11
4524224,0,187768.03,2048484.9,2236252.93,3417166.63,3229398.6
1506076,4,612743.87,612743.87,0.0,0.0,0.0
253585,1,631810.47,10671.0,0.0,0.0,532796.3
4800482,1,143096.99,170.0,0.0,0.0,143096.99
5563746,1,4348.62,4348.62,0.0,4139226.47,4143575.09
6281781,4,18982.32,18982.32,0.0,0.0,0.0
6168708,1,143275.81,143275.81,0.0,6346481.09,6489756.9
6100667,1,497928.97,497928.97,0.0,4112129.55,4610058.51
1068007,1,377919.58,377919.58,0.0,617276.1,995195.68
6273162,4,75480.15,75480.15,0.0,0.0,0.0
5546412,4,565346.12,565346.12,0.0,0.0,0.0
6272318,1,3054359.4,3054359.4,0.0,1537363.06,4591722.45
2412085,0,27280.6,3741659.65,3768940.25,42428.63,15148.03
6001566,4,474195.1,474195.1,0.0,0.0,0.0
576357,1,378204.02,378204.02,0.0,0.0,378204.02
4476333,4,1044683.15,0.0,0.0,1986260.81,3030943.96
3193202,1,2468740.94,2468740.94,0.0,0.0,2468740.94
5987483,4,1050135.78,1050135.78,0.0,0.0,0.0
3383838,3,10507.15,0.0,0.0,0.0,0.0
5369860,4,147180.74,10058.0,0.0,2099436.36,2246617.1
1069780,4,2658595.89,2658595.89,0.0,0.0,0.0
6283810,4,24522.52,24522.52,0.0,0.0,0.0
5414879,1,261741.81,729101.0,467359.19,513797.09,775538.9
2814084,1,74447.11,74447.11,0.0,0.0,74447.11
859761,3,3644.89,0.0,0.0,0.0,0.0
3148385,1,4121986.59,4121986.59,0.0,0.0,4121986.59
6292348,4,866712.19,866712.19,0.0,0.0,0.0
3163674,4,10000000.0,13924102.18,3924102.18,0.0,0.0
2141410,1,493598.21,552899.0,59300.79,762323.34,1255921.55
4785634,4,92145.4,92145.4,0.0,0.0,0.0
1059508,4,130653.37,130653.37,0.0,0.0,0.0
4831892,3,16148.53,0.0,0.0,0.0,0.0
2614737,0,95065.05,2758332.14,2853397.19,101912.23,6847.18
3609349,4,881187.51,881187.51,0.0,0.0,0.0
6256020,1,122080.53,565.0,0.0,0.0,122080.53
1030358,1,3904257.51,3904257.51,0.0,0.0,3904257.51
643671,1,112280.88,0.0,0.0,40512.49,152793.36
4538401,1,618381.01,618381.01,0.0,856512.38,1474893.39
6236932,0,27396.86,6511453.6,6538850.46,61327.65,33930.8
4094833,1,310115.41,120.0,0.0,0.0,310115.41
5188006,4,692895.24,692895.24,0.0,0.0,0.0
1832527,3,17104.9,50200.0,33095.1,0.0,0.0
2576835,1,236692.01,0.0,0.0,1215232.46,1451924.48
950060,3,17125.6,30650.0,13524.4,0.0,0.0
138444,0,168438.56,20240.0,188678.56,593476.83,425038.27
5826497,3,13439.83,0.0,0.0,0.0,0.0
6030087,1,63440.63,63440.63,0.0,26850.23,90290.87
1699789,3,38763.11,133341.0,94577.89,0.0,0.0
4750484,3,32207.88,31835.0,0.0,0.0,0.0
4196843,4,447589.21,447589.21,0.0,0.0,0.0
330608,3,13746.49,150080.57,136334.08,0.0,0.0
6019718,4,283415.1,283415.1,0.0,0.0,0.0
6276980,1,144254.93,144254.93,0.0,128529.95,272784.88
4479600,3,24968.66,176.0,0.0,0.0,0.0
5679340,1,249984.75,249984.75,0.0,0.0,249984.75
204559,0,171620.33,9711310.74,9882931.07,1070391.36,1312315.85
3452687,3,5130.06,18605.39,13475.33,0.0,0.0
6362439,1,1102951.39,1102951.39,0.0,0.0,1102951.39
6070091,4,1002793.77,0.0,0.0,1390157.68,2392951.45
755645,3,10079.42,253737.57,243658.14,0.0,0.0
6324002,0,182383.75,19682865.02,19865248.77,1781893.62,1599509.87
3733859,3,64743.5,0.0,0.0,0.0,0.0
1226710,1,298403.53,58558.0,0.0,0.0,298403.53
5186920,1,1742012.06,1742012.06,0.0,70881.61,1812893.67
1430630,3,19306.48,5433.99,0.0,0.0,0.0
3849813,1,181647.66,181647.66,0.0,159001.95,340649.62
479636,1,122101.57,0.0,0.0,0.0,639940.2
6273193,1,182739.36,182739.36,0.0,2520763.27,2703502.63
538753,4,158299.34,158299.34,0.0,0.0,0.0
5040726,1,375419.35,375419.35,0.0,269939.49,645358.83
2833660,0,357553.43,4254879.46,4612432.9,2716171.66,2358618.23
4233481,3,3721.97,24347.0,20625.03,0.0,0.0
6272953,1,1040303.44,1040303.44,0.0,1794359.1,2834662.54
2075389,1,178530.01,0.0,0.0,697877.71,876407.73
3208637,4,369448.2,369448.2,0.0,0.0,0.0
2288741,4,35152.53,0.0,0.0,53065.07,88217.6
4380660,0,535159.2,1026416.18,1561575.38,2334266.26,1799107.06
4996899,1,119501.03,566.0,0.0,0.0,119501.03
2904378,0,255165.28,167325.0,422490.28,0.0,0.0
2029735,4,8186519.17,8186519.17,0.0,0.0,0.0
6227075,1,906270.63,906270.63,0.0,221709.79,1127980.43
1024318,3,5154.76,40799.0,35644.24,0.0,0.0
1030556,1,622235.32,622235.32,0.0,3377968.96,4000204.28
6291218,1,25472.32,25472.32,0.0,0.0,25472.32
5196721,1,269882.92,2382.0,0.0,0.0,450541.91
4406410,1,180044.97,0.0,0.0,191429.9,439206.18
6064028,4,219278.81,219278.81,0.0,0.0,0.0
6362427,1,276298.49,276298.49,0.0,598892.69,875191.19
5449386,3,11115.5,201.0,0.0,0.0,0.0
735875,1,308622.73,67666.0,0.0,796705.49,1105328.22
6259932,4,714218.48,714218.48,0.0,0.0,0.0
5990227,1,3019699.77,3019699.77,0.0,523626.59,3543326.36
6030060,1,2739869.62,2739869.62,0.0,0.0,2739869.62
5832231,1,15809.81,21776.0,5966.19,0.0,15809.81
3960337,1,717046.74,717046.74,0.0,313951.85,1030998.59
6202286,4,6106149.52,6106149.52,0.0,0.0,0.0
5563206,4,978362.97,978362.97,0.0,0.0,0.0
1537598,4,3424092.39,3424092.39,0.0,0.0,0.0
1234156,4,442805.78,251099.0,0.0,196947.58,849018.4
3933726,4,106654.67,106654.67,0.0,0.0,0.0
6013460,4,432544.68,432544.68,0.0,0.0,0.0
6243179,3,2273.21,0.0,0.0,0.0,0.0
6034793,1,1048.63,1048.63,0.0,62895.35,63943.98
632160,1,15740.84,0.0,0.0,772346.04,788086.88
6061940,1,613020.85,613020.85,0.0,940884.76,1553905.61
530791,3,3473.43,213184.0,209710.57,0.0,0.0
1036630,4,38479.06,20710.0,0.0,0.0,38479.06
2647737,4,1516823.73,1516823.73,0.0,0.0,0.0
6113886,4,1094419.89,1094419.89,0.0,0.0,0.0
1932216,1,1244224.16,1244224.16,0.0,1350776.28,2595000.45
6272915,1,165547.54,165547.54,0.0,0.0,165547.54
6038847,1,799517.33,799517.33,0.0,67824.14,867341.47
4038564,1,357066.18,10027.0,0.0,0.0,357066.18
2741559,1,362988.52,362988.52,0.0,2158316.76,2521305.27
1511339,1,155534.95,155534.95,0.0,88096.9,243631.85
2181231,4,194180.11,194180.11,0.0,0.0,0.0
3023148,1,37357.32,37357.32,0.0,0.0,37357.32
1400652,3,2582.78,0.0,0.0,0.0,0.0
4025657,3,42121.56,0.0,0.0,0.0,0.0
4132344,4,186692.66,0.0,0.0,9510154.03,9696846.68
6346814,1,21358.8,21358.8,0.0,8903356.2,8924714.99
1411303,3,27113.63,205063.0,177949.37,0.0,0.0
3423472,3,2417.77,59106.0,56688.23,0.0,0.0
5015625,3,176.77,0.0,0.0,0.0,0.0
2402312,0,172150.6,267515.0,439665.6,690546.43,518395.83
2672721,3,1174.52,31939.0,30764.48,0.0,0.0
6227114,1,609239.75,609239.75,0.0,236427.49,845667.24
2467489,1,80747.29,0.0,0.0,7299783.54,7380530.83
1048649,4,53062.52,53062.52,0.0,0.0,0.0
2646692,0,24538.76,23810198.86,23834737.62,139162.16,114623.4
5446037,0,99953.92,45597.0,145550.92,0.0,0.0
3707900,3,16017.66,130520.0,114502.34,0.0,0.0
6039464,1,1059347.56,1059347.56,0.0,234543.3,1293890.85
5901966,3,17420.96,96797.68,79376.73,0.0,0.0
2380616,4,113273.1,113273.1,0.0,0.0,0.0
4893090,4,287418.03,0.0,0.0,3306877.41,3594295.45
4991601,4,166456.54,166456.54,0.0,0.0,0.0
6362393,1,123259.24,123259.24,0.0,1175578.47,1298837.71
3610974,1,3042111.54,3042111.54,0.0,3574837.72,6616949.26
3610965,4,2219475.13,2219475.13,0.0,0.0,0.0
553311,1,177525.41,0.0,0.0,1043089.47,1220614.88
303119,3,868.5,0.0,0.0,0.0,0.0
2901379,1,4526748.52,4526748.52,0.0,416831.26,4943579.77
2699365,1,169900.71,0.0,0.0,587072.24,756972.95
6118813,4,232565.37,232565.37,0.0,0.0,0.0
6020362,4,44946.2,44946.2,0.0,0.0,0.0
3242294,1,387420.97,61353.0,0.0,705066.16,1092487.13
6065070,1,40836.05,40836.05,0.0,1125471.43,1166307.48
1987239,1,257915.21,0.0,0.0,1108599.1,1366514.31
2477128,3,1995.24,31347.0,29351.76,0.0,0.0
6037833,1,829286.58,829286.58,0.0,178393.69,1007680.27
1850871,0,161640.29,9488.0,171128.29,0.0,0.0
6351246,1,1820864.64,1820864.64,0.0,1116665.47,2937530.11
1506839,1,102750.55,102750.55,0.0,473786.58,576537.12
5112229,4,883366.69,883366.69,0.0,0.0,0.0
1030535,4,2949339.09,2949339.09,0.0,0.0,0.0
4785665,1,549159.68,549159.68,0.0,5479220.09,6028379.77
1071577,1,104153.85,137736.0,33582.15,0.0,104153.85
6009602,1,1102791.66,1102791.66,0.0,2677101.89,3779893.55
6357397,1,7418265.31,7418265.31,0.0,0.0,7418265.31
6040022,1,609400.88,609400.88,0.0,1620065.35,2229466.23
4971582,1,600722.15,600722.15,0.0,2372103.71,2972825.85
6346287,4,292815.44,292815.44,0.0,0.0,0.0
3959648,4,196149.04,196149.04,0.0,0.0,0.0
1030732,1,9345700.07,9345700.07,0.0,8922060.43,18267760.5
4104408,1,346119.32,17861.0,0.0,291170.1,637289.41
5188015,1,56231.05,56231.05,0.0,0.0,56231.05
4384224,4,134383.84,134383.84,0.0,0.0,0.0
6271472,4,2341474.44,2341474.44,0.0,0.0,0.0
5728459,1,226510.05,304656.0,78145.95,50335.24,276845.29
3675019,1,37880.06,0.0,0.0,2013169.96,2051050.02
5987933,1,1240717.75,1240717.75,0.0,144986.76,1385704.52
3670120,1,2246118.53,2246118.53,0.0,0.0,2246118.53
6281786,1,50523.78,50523.78,0.0,0.0,50523.78
4177314,0,153655.97,31752.0,185407.97,0.0,0.0
2924934,1,172390.06,15279.0,0.0,0.0,172390.06
3153454,1,181184.74,0.0,0.0,6074934.75,6256119.49
3957174,3,89388.84,54925.56,0.0,0.0,0.0
1557962,0,17669.99,5600.0,23269.99,0.0,0.0
665159,3,33772.31,70916.0,37143.69,0.0,0.0
1030616,1,1321091.25,1321091.25,0.0,0.0,1321091.25
3162,4,963532.14,963532.14,0.0,0.0,0.0
6328872,1,2163012.63,2163012.63,0.0,0.0,2163012.63
2110392,1,379602.81,0.0,0.0,584305.9,963908.71
6358039,4,986623.96,986623.96,0.0,0.0,0.0
3040666,1,210691.92,210691.92,0.0,93393.33,304085.25
4768348,3,13834.8,21283.0,7448.2,0.0,0.0
2123794,1,15172.44,0.0,0.0,5628029.06,5643201.5
5472817,3,6198.06,279542.0,273343.94,0.0,0.0
1030493,4,374178.28,374178.28,0.0,0.0,0.0
4325246,3,2126.83,9257.0,7130.17,0.0,0.0
4226174,1,30843.96,0.0,0.0,131990.66,162834.62
3215229,3,24335.19,154183.92,129848.72,0.0,0.0
584422,3,6702.85,66387.0,59684.15,0.0,0.0
3213722,4,358440.67,358440.67,0.0,0.0,0.0
5387192,4,545909.63,41223.0,0.0,402933.23,948842.86
6296166,1,234787.38,234787.38,0.0,3932349.43,4167136.82
3489833,1,2684142.41,2684142.41,0.0,209538.74,2893681.15
6014713,4,133057.11,133057.11,0.0,0.0,0.0
1572513,3,10893.96,0.0,0.0,0.0,0.0
4388758,4,681007.64,681007.64,0.0,0.0,0.0
6121959,4,198888.16,198888.16,0.0,0.0,0.0
6358604,4,8838.19,8838.19,0.0,0.0,0.0
444606,3,7673.18,0.0,0.0,0.0,0.0
4887868,0,58930.84,1186556.61,1245487.45,91973.49,33042.65
817013,3,18959.76,27996.17,9036.41,0.0,0.0
3019271,4,157353.39,157353.39,0.0,0.0,0.0
1932186,1,1437291.89,1437291.89,0.0,0.0,1437291.89
6201457,4,600618.37,0.0,0.0,10910648.39,11511266.76
6055414,1,30171.95,30171.95,0.0,3334845.4,3365017.36
1069130,4,2142164.0,2142164.0,0.0,0.0,0.0
3610889,1,1654055.02,1654055.02,0.0,2165407.21,3819462.24
1059528,4,46081.45,46081.45,0.0,0.0,0.0
1480070,1,350800.27,350800.27,0.0,3904036.08,4254836.35
792048,1,35813.37,0.0,0.0,284443.0,320256.37
546683,3,6969.0,10628.0,3659.0,0.0,0.0
1172743,1,379064.81,0.0,0.0,1302940.18,1682004.99
1619801,1,16562.52,426.0,0.0,750666.05,767228.56
4014160,4,1519109.99,398720.0,0.0,33323.1,1552433.08
483373,3,18507.47,217047.95,198540.47,0.0,0.0
5045174,1,69878.14,69878.14,0.0,41194.19,111072.33
1275863,3,10009.78,424456.22,414446.44,0.0,0.0
5569876,3,29739.11,0.0,0.0,0.0,0.0
4023335,3,41461.34,0.0,0.0,0.0,0.0
3222738,3,18920.74,20843.0,1922.26,0.0,0.0
5866442,0,124904.55,6821605.15,6946509.7,370133.8,245229.26
4387979,1,5818863.13,5818863.13,0.0,227196.79,6046059.92
6121557,3,9877.28,0.0,0.0,0.0,0.0
2722914,4,72876.11,0.0,0.0,5802487.74,5912421.02
3094176,1,54229.15,10011.0,0.0,303126.56,357355.71
1874003,0,207071.64,198102.0,405173.64,0.0,0.0
5981895,4,398724.6,398724.6,0.0,0.0,0.0
3843520,1,140523.4,140523.4,0.0,25108.13,165631.53
3309641,1,23452.71,0.0,0.0,1597554.81,1621007.52
3502873,3,8878.63,10151.47,1272.85,0.0,0.0
6272919,1,67128.33,67128.33,0.0,623880.13,691008.45
2041059,1,1644749.94,1644749.94,0.0,421619.2,2066369.14
3148614,3,2274.43,0.0,0.0,0.0,0.0
4253349,3,16102.71,0.0,0.0,0.0,0.0
417553,3,25690.41,0.0,0.0,0.0,0.0
6168681,4,2190762.32,2190762.32,0.0,0.0,0.0
6185979,4,3596.83,3596.83,0.0,0.0,0.0
33472,4,89631.24,89631.24,0.0,0.0,0.0
2884515,1,213416.87,121.0,0.0,2979294.62,3192711.5
5960896,3,22143.21,41748.0,19604.79,0.0,0.0
2914263,1,498684.54,21421.0,0.0,186429.79,685114.33
3607863,3,1163.17,12102.0,10938.83,0.0,0.0
4587923,3,41602.57,114574.74,72972.17,0.0,0.0
5987939,1,2425164.58,2425164.58,0.0,946807.93,3371972.51
1065901,3,10385.09,45344.0,34958.91,0.0,0.0
6008688,4,16207.04,16207.04,0.0,0.0,0.0
2942667,1,137722.35,0.0,0.0,654559.85,792282.2
3868586,1,843174.04,843174.04,0.0,2972319.22,3815493.26
6005600,4,971788.99,0.0,0.0,5764601.87,6736390.86
6007597,1,3718503.37,3718503.37,0.0,4365225.42,8083728.79
5950739,3,4728.16,568968.0,564239.84,0.0,0.0
6362411,1,3547010.54,3547010.54,0.0,134668.9,3681679.44
465922,0,94107.34,203714.44,297821.78,2083756.42,1668754.89
3055710,1,470922.15,470922.15,0.0,0.0,470922.15
6020210,4,414095.91,414095.91,0.0,0.0,0.0
6202695,1,2149658.47,2149658.47,0.0,0.0,2149658.47
6055662,1,1416055.74,1416055.74,0.0,4392650.62,5808706.35
1059556,4,803794.53,803794.53,0.0,0.0,0.0
3085411,3,2537.55,6276.52,3738.97,0.0,0.0
6339936,4,880661.14,880661.14,0.0,0.0,0.0
6264971,4,2155569.91,2155569.91,0.0,0.0,0.0
3258323,1,39734.84,9043.0,0.0,0.0,39734.84
3340742,1,168455.76,168455.76,0.0,468448.82,636904.58
